time_s,pwave_sw_us,pwave_aic_us,travel_aic_us,Vp_sw_km,Vp_aic_km
0.115211,34.675,35.275,26.625,3.842459173871278,3.755868544600939
3.01892,35.45,35.3,26.65,3.731343283582089,3.7523452157598505
6.08178,35.6,35.2,26.550000000000004,3.710575139146568,3.766478342749529
9.12512,35.25,35.15,26.5,3.7593984962406015,3.7735849056603774
12.1802,35.525,35.6,26.950000000000003,3.72093023255814,3.710575139146568
15.2713,35.4,35.3,26.65,3.738317757009346,3.7523452157598505
18.343,35.125,34.875,26.225,3.7771482530689333,3.8131553860819833
21.3902,35.325,34.925,26.275,3.7488284910965315,3.8058991436726934
24.4492,35.325,35.175,26.525,3.7488284910965315,3.7700282752120646
27.5218,35.425,35.25,26.6,3.73482726423903,3.7593984962406015
30.5905,35.4,35.025,26.375,3.738317757009346,3.7914691943127967
33.6495,35.275,35.2,26.550000000000004,3.755868544600939,3.766478342749529
36.7026,35.225,35.25,26.6,3.762935089369708,3.7593984962406015
39.8338,35.175,35.025,26.375,3.7700282752120646,3.7914691943127967
43.0216,35.125,35.2,26.550000000000004,3.7771482530689333,3.766478342749529
46.1782,35.225,35.175,26.525,3.762935089369708,3.7700282752120646
49.3065,34.925,34.85,26.200000000000003,3.8058991436726934,3.8167938931297707
52.4582,35.0,34.875,26.225,3.7950664136622394,3.8131553860819833
55.5953,35.275,35.0,26.35,3.755868544600939,3.7950664136622394
58.665,34.575,34.675,26.025,3.8572806171648986,3.842459173871278
61.6946,35.075,34.925,26.275,3.7842951750236518,3.8058991436726934
64.7741,35.1,34.875,26.225,3.7807183364839316,3.8131553860819833
67.9375,34.725,34.675,26.025,3.8350910834132312,3.842459173871278
71.1205,34.85,34.875,26.225,3.8167938931297707,3.8131553860819833
74.2194,35.025,34.85,26.200000000000003,3.7914691943127967,3.8167938931297707
77.2638,34.4,34.725,26.075000000000003,3.883495145631068,3.8350910834132312
80.3481,34.85,34.65,26.0,3.8167938931297707,3.8461538461538467
83.4832,35.025,35.05,26.4,3.7914691943127967,3.7878787878787885
86.6437,34.45,34.55,25.9,3.8759689922480614,3.8610038610038617
89.7983,34.775,34.725,26.075000000000003,3.8277511961722492,3.8350910834132312
92.952,35.0,34.7,26.050000000000004,3.7950664136622394,3.838771593090211
96.0979,34.55,34.475,25.825000000000003,3.8610038610038617,3.8722168441432725
99.2876,34.7,34.575,25.925000000000004,3.838771593090211,3.8572806171648986
102.413,34.575,34.45,25.800000000000004,3.8572806171648986,3.8759689922480614
105.448,34.15,34.475,25.825000000000003,3.9215686274509807,3.8722168441432725
108.582,34.45,34.425,25.775,3.8759689922480614,3.8797284190106702
111.746,34.5,34.275,25.625,3.8684719535783367,3.9024390243902443
114.872,34.225,34.175,25.525,3.9100684261974585,3.9177277179236047
118.018,34.625,34.525,25.875,3.8498556304138596,3.864734299516909
121.152,34.45,34.4,25.75,3.8759689922480614,3.883495145631068
124.208,34.4,34.35,25.700000000000003,3.883495145631068,3.8910505836575875
127.262,33.975,34.375,25.725,3.948667324777887,3.887269193391642
130.427,34.25,34.35,25.700000000000003,3.9062500000000004,3.8910505836575875
133.595,34.2,34.0,25.35,3.9138943248532287,3.9447731755424065
136.733,33.975,33.9,25.25,3.948667324777887,3.960396039603961
139.893,33.975,34.025,25.375,3.948667324777887,3.9408866995073897
143.031,33.775,33.775,25.125,3.9800995024875627,3.9800995024875627
146.134,33.475,33.725,25.075000000000003,4.028197381671702,3.9880358923230306
149.191,33.3,33.725,25.075000000000003,4.056795131845843,3.9880358923230306
152.251,33.625,33.675,25.025,4.004004004004004,3.9960039960039966
155.334,33.275,33.625,24.975,4.060913705583757,4.004004004004004
158.412,33.775,33.7,25.050000000000004,3.9800995024875627,3.992015968063872
161.557,33.7,33.5,24.85,3.992015968063872,4.0241448692152915
164.718,33.475,33.4,24.75,4.028197381671702,4.040404040404041
167.842,33.25,33.325,24.675000000000004,4.065040650406504,4.052684903748733
170.972,33.5,33.5,24.85,4.0241448692152915,4.0241448692152915
174.072,33.2,33.4,24.75,4.0733197556008145,4.040404040404041
