Time,CH,RISE,COUN,ENER,DURATION,AMP,ABS_E
2.787216,1,2,1,0,2,45.0,3.784
10.0605155,3,1,2,0,43,49.0,40.225
22.430123,1,1,1,0,1,45.0,0.0
27.3880125,3,1,1,0,1,45.0,0.0
35.5691425,3,1,1,0,5,48.0,15.632
35.7725085,3,1,1,0,1,45.0,0.0
39.0108615,3,1,1,0,6,45.0,10.017
39.062741,5,2,3,0,2,48.0,5.628
42.8716455,3,1,2,0,5,48.0,15.976
42.87167,1,1,1,0,1,45.0,0.0
44.2093095,3,2,1,0,2,45.0,3.213
46.9344035,3,1,1,0,1,45.0,0.0
50.58255,1,1,1,0,1,47.0,0.0
53.7417465,3,1,1,0,1,45.0,0.0
53.741763,1,1,1,0,1,45.0,0.0
55.2113345,3,1,1,0,5,45.0,7.626
64.5987245,3,1,1,0,1,45.0,0.0
71.7378785,3,1,1,0,1,45.0,0.0
93.5515185,3,1,1,0,4,48.0,10.434
93.551531,1,4,1,0,5,46.0,18.014
119.2327955,3,2,1,0,2,45.0,6.846
125.1757445,3,1,1,0,1,45.0,0.0
133.1701145,3,1,1,0,1,45.0,0.0
133.170129,1,1,1,0,1,45.0,0.0
137.4006355,3,2,1,0,41,47.0,35.086
137.400644,1,1,2,0,1,46.0,0.0
142.971051,5,1,1,0,1,45.0,0.0
163.873864,1,1,1,0,1,45.0,0.0
172.6552465,3,1,1,0,1,45.0,0.0
173.92324,5,1,1,0,1,45.0,0.0
184.906327,5,1,5,0,4,46.0,7.904
194.106557,5,1,4,0,1,46.0,0.0
197.187652,5,1,5,0,42,49.0,35.656
197.763803,5,1,5,1,77,47.0,104.44
200.196904,5,1,1,0,1,45.0,0.0
200.293677,5,1,5,1,74,47.0,99.258
200.869823,5,1,7,1,80,47.0,117.594
203.347969,5,1,1,0,1,45.0,0.0
204.019785,5,1,6,1,77,47.0,113.622
204.7030455,3,1,1,0,1,45.0,0.0
206.508958,5,1,1,0,1,45.0,0.0
207.180455,5,1,7,1,80,48.0,124.631
209.596568,5,1,3,0,54,46.0,50.591
210.268466,5,1,6,1,80,48.0,134.618
213.331659,5,1,6,0,42,48.0,46.42
216.384748,5,1,7,0,53,48.0,77.127
219.430738,5,1,8,0,42,48.0,49.31
222.498585,5,1,10,0,45,48.0,62.585
225.549065,5,1,9,0,53,48.0,84.444
228.628058,5,1,8,1,77,49.0,144.183
232.586427,5,1,5,0,1,47.0,0.0
232.682504,5,1,10,1,76,48.0,155.312
236.635066,5,1,2,0,24,46.0,35.91
236.730863,5,1,10,1,80,49.0,175.24
239.826074,5,1,10,1,80,49.0,182.9
242.770182,5,1,5,0,1,46.0,0.0
242.866205,5,1,10,1,79,49.0,183.014
245.816236,5,1,6,0,42,48.0,52.092
245.913118,5,1,11,1,77,49.0,176.031
248.963387,5,1,7,0,42,47.0,53.865
252.128167,5,1,7,0,48,47.0,71.815
256.032763,5,1,12,1,91,49.0,228.401
260.170419,5,1,7,0,45,48.0,75.023
263.281148,5,1,12,2,97,49.0,254.776
263.377277,5,1,5,0,7,48.0,19.355
266.549879,5,1,6,1,79,48.0,141.726
269.691789,5,1,7,1,79,49.0,142.629
272.861691,5,1,7,1,76,49.0,130.21
276.058714,5,1,8,1,76,48.0,138.389
279.18671,5,1,7,1,76,48.0,121.188
282.077029,5,1,8,1,59,48.0,119.275
282.268542,5,1,8,1,59,49.0,119.352
285.207829,5,1,7,1,79,49.0,142.209
285.399508,5,1,8,1,57,49.0,110.743
288.34484,5,1,9,1,59,49.0,120.868
288.537251,5,1,8,0,19,48.0,44.244
292.259621,5,1,4,1,64,48.0,96.541
292.451147,5,1,7,0,45,49.0,94.511
296.743228,5,1,8,1,57,49.0,118.661
296.934919,5,1,9,1,59,49.0,130.319
300.425444,5,1,9,0,19,49.0,53.225
300.617028,5,1,4,0,27,48.0,41.8
303.701026,5,1,7,0,31,49.0,86.97
306.593498,5,1,7,0,45,49.0,103.939
306.785096,5,1,6,0,44,49.0,97.298
311.976138,5,2,2,0,8,48.0,34.89
575.055497,4,1,1,0,1,48.0,0.0
755.241213,1,1,2,0,19,48.0,25.759
798.1739065,3,1,1,0,1,45.0,0.0
