x 		Plot 1 		
0.000000 	119.000000 	
12.800000 	243.000000 	
25.600000 	371.000000 	
38.400002 	508.000000 	
51.200001 	641.000000 	
64.000000 	780.000000 	
76.800003 	917.000000 	
89.599998 	1051.000000 	
102.400002 	1191.000000 	
115.200005 	1327.000000 	
128.000000 	1460.000000 	
140.800003 	1590.000000 	
153.600006 	1725.000000 	
166.400009 	1859.000000 	
179.199997 	1992.000000 	
192.000000 	2136.000000 	
204.800003 	2281.000000 	
217.600006 	2429.000000 	
230.400009 	2587.000000 	
243.199997 	2731.000000 	
256.000000 	2867.000000 	
268.800018 	3027.000000 	
281.600006 	3187.000000 	
294.399994 	3348.000000 	
307.200012 	3509.000000 	
320.000000 	3669.000000 	
332.800018 	3829.000000 	
345.600006 	3989.000000 	
358.399994 	4149.000000 	
371.200012 	4309.000000 	
384.000000 	4469.000000 	
396.800018 	4629.000000 	
409.600006 	4789.000000 	
422.399994 	4949.000000 	
435.200012 	5129.000000 	
448.000000 	5309.000000 	
460.800018 	5469.000000 	
473.600006 	5629.000000 	
486.399994 	5789.000000 	
499.200012 	5949.000000 	
512.000000 	6109.000000 	
524.799988 	6264.000000 	
537.600037 	6430.000000 	
550.400024 	6590.000000 	
563.200012 	6756.000000 	
576.000000 	6917.000000 	
588.799988 	7077.000000 	
601.600037 	7237.000000 	
614.400024 	7397.000000 	
627.200012 	7572.000000 	
640.000000 	7747.000000 	
652.799988 	7917.000000 	
665.600037 	8077.000000 	
678.400024 	8237.000000 	
691.200012 	8397.000000 	
704.000000 	8557.000000 	
716.799988 	8717.000000 	
729.600037 	8877.000000 	
742.400024 	9037.000000 	
755.200012 	9208.000000 	
768.000000 	9373.000000 	
780.799988 	9538.000000 	
793.600037 	9704.000000 	
806.400024 	9879.000000 	
819.200012 	10041.000000 	
832.000000 	10201.000000 	
844.799988 	10361.000000 	
857.600037 	10521.000000 	
870.400024 	10681.000000 	
883.200012 	10848.000000 	
896.000000 	11019.000000 	
908.799988 	11185.000000 	
921.600037 	11345.000000 	
934.400024 	11507.000000 	
947.200012 	11699.000000 	
960.000000 	11871.000000 	
972.799988 	12042.000000 	
985.600037 	12202.000000 	
998.400024 	12364.000000 	
1011.200012 	12527.000000 	
1024.000000 	12689.000000 	
1036.800049 	12849.000000 	
1049.599976 	13014.000000 	
1062.400024 	13184.000000 	
1075.200073 	13354.000000 	
1088.000000 	13523.000000 	
1100.800049 	13693.000000 	
1113.599976 	13853.000000 	
1126.400024 	14014.000000 	
1139.200073 	14175.000000 	
1152.000000 	14335.000000 	
1164.800049 	14507.000000 	
1177.599976 	14680.000000 	
1190.400024 	14863.000000 	
1203.200073 	15027.000000 	
1216.000000 	15195.000000 	
1228.800049 	15364.000000 	
1241.599976 	15525.000000 	
1254.400024 	15700.000000 	
1267.200073 	15862.000000 	
1280.000000 	16031.000000 	
1292.800049 	16225.000000 	
1305.599976 	16410.000000 	
1318.400024 	16590.000000 	
1331.200073 	16764.000000 	
1344.000000 	16932.000000 	
1356.800049 	17120.000000 	
1369.599976 	17300.000000 	
1382.400024 	17478.000000 	
1395.200073 	17658.000000 	
1408.000000 	17874.000000 	
1420.800049 	18082.000000 	
1433.599976 	18310.000000 	
1446.400024 	18546.000000 	
1459.200073 	18800.000000 	
1472.000000 	19077.000000 	
1484.800049 	19378.000000 	
1497.599976 	19796.000000 	
1510.400024 	20339.000000 	
1523.200073 	21236.000000 	
1536.000000 	22877.000000 	
1548.800049 	26834.000000 	
1561.599976 	40172.000000 	
1574.400024 	40186.000000 	
