C:\Users\USER\Desktop\all tests\Wang-04-15\04-15-hits-zhenlingshu.TXT
C:\Users\USER\Desktop\all tests\Wang-04-15\04-15-hits-zhenlingshu.TXT
Express-8 (r) Location Version 
Version V5.94

4/15/2026, 17:03:41

128            0.0000000		Acquisition Running
 ID     SSSSSSSS.mmmuuun  CH  RISE  COUN  ENER  DURATION AMP  ABS-ENERGY
  1           11.8608700   1    32    18     3        65  57 900.992E+00
  1           11.8608745   3     9    17     5       175  61   1.474E+03
  1           11.8608920   2     1     3     0         7  56  93.573E+00
  1           11.8609045   6    40    13     2        61  54 428.464E+00
  1           11.9567380   1    12    13     2        43  55 527.747E+00
  1           11.9567395   3     9    15     4       172  58 956.330E+00
  1           11.9567600   2     1     1     0         4  50  20.938E+00
  1           11.9567815   6     1     8     1        47  52 232.811E+00
  1           12.0535680   1    11    18     4       137  57   1.005E+03
  1           12.0535745   3     3    17     5       169  60   1.395E+03
  1           12.0535930   2     1     1     0         1  52   0.000E+00
  1           12.0536055   6     1    13     2       115  54 494.510E+00
  1           14.4844540   1     8    13     2        48  55 556.425E+00
  1           14.4844605   3     3    15     4       166  59 906.397E+00
  1           14.4844995   6     1     8     1        50  52 247.210E+00
  1           14.5805250   1    32    18     4       128  57 976.841E+00
  1           14.5805315   3     3    17     5       169  61   1.392E+03
  1           14.5805520   2     1     1     0         1  50   0.000E+00
  1           14.5805625   6    11    14     2       112  54 486.066E+00
  1           14.6773480   1    32    13     2        48  55 558.549E+00
  1           14.6773525   3     9    15     4       168  58 938.969E+00
  1           14.6773945   6    28     8     1        49  52 239.969E+00
  1           14.7731900   1     9    16     4       166  57   1.011E+03
  1           14.7731915   3    13    18     5       175  60   1.485E+03
  1           14.7732090   2     1     2     0         7  53  67.492E+00
  1           14.7732335   6     1    12     2        69  53 398.273E+00
  1           14.8693670   1    11    12     2        45  55 552.413E+00
  1           14.8693735   3    10    16     4       169  59 930.774E+00
  1           14.8694045   6     1    10     1        58  52 273.399E+00
  1           14.9650780   1    32    18     3       113  57 953.803E+00
  1           14.9650825   3     6    18     5       175  61   1.477E+03
  1           14.9651000   2     1     2     0         1  55   0.000E+00
  1           14.9651155   6    37    14     2        99  54 469.890E+00
  1           15.0608010   1     9    11     2        43  55 528.196E+00
  1           15.0608055   3    10    16     4       169  58 917.676E+00
  1           15.0608260   2     1     1     0         1  50   0.000E+00
  1           15.0608445   6     1     8     1        47  51 237.219E+00
  1           15.1565710   1    32    18     4       132  57 985.101E+00
  1           15.1565755   3     9    18     5       175  61   1.486E+03
  1           15.1565930   2     1     2     0         7  53  81.469E+00
  1           15.1566055   6    40    14     2       102  54 481.978E+00
