time_s,pwave_sw_us,pwave_aic_us,Vp_sw_km,Vp_aic_km
0.115211,34.675,35.275,3.842459173871278,3.755868544600939
3.01892,35.45,35.3,3.731343283582089,3.7523452157598505
6.08178,35.6,35.2,3.710575139146568,3.766478342749529
9.12512,35.25,35.15,3.7593984962406015,3.7735849056603774
12.1802,35.525,35.6,3.72093023255814,3.710575139146568
15.2713,35.4,35.3,3.738317757009346,3.7523452157598505
18.343,35.125,34.875,3.7771482530689333,3.8131553860819833
21.3902,35.325,34.925,3.7488284910965315,3.8058991436726934
24.4492,35.325,35.175,3.7488284910965315,3.7700282752120646
27.5218,35.425,35.25,3.73482726423903,3.7593984962406015
30.5905,35.4,35.025,3.738317757009346,3.7914691943127967
33.6495,35.275,35.2,3.755868544600939,3.766478342749529
36.7026,35.225,35.25,3.762935089369708,3.7593984962406015
39.8338,35.175,35.025,3.7700282752120646,3.7914691943127967
43.0216,35.125,35.2,3.7771482530689333,3.766478342749529
46.1782,35.225,35.175,3.762935089369708,3.7700282752120646
49.3065,34.925,34.85,3.8058991436726934,3.8167938931297707
52.4582,35.0,34.875,3.7950664136622394,3.8131553860819833
55.5953,35.275,35.0,3.755868544600939,3.7950664136622394
58.665,34.575,34.675,3.8572806171648986,3.842459173871278
61.6946,35.075,34.925,3.7842951750236518,3.8058991436726934
64.7741,35.1,34.875,3.7807183364839316,3.8131553860819833
67.9375,34.725,34.675,3.8350910834132312,3.842459173871278
71.1205,34.85,34.875,3.8167938931297707,3.8131553860819833
74.2194,35.025,34.85,3.7914691943127967,3.8167938931297707
77.2638,34.4,34.725,3.883495145631068,3.8350910834132312
80.3481,34.85,34.65,3.8167938931297707,3.8461538461538467
83.4832,35.025,35.05,3.7914691943127967,3.7878787878787885
86.6437,34.45,34.55,3.8759689922480614,3.8610038610038617
89.7983,34.775,34.725,3.8277511961722492,3.8350910834132312
92.952,35.0,34.7,3.7950664136622394,3.838771593090211
96.0979,34.55,34.475,3.8610038610038617,3.8722168441432725
99.2876,34.7,34.575,3.838771593090211,3.8572806171648986
102.413,34.575,34.45,3.8572806171648986,3.8759689922480614
105.448,34.15,34.475,3.9215686274509807,3.8722168441432725
108.582,34.45,34.425,3.8759689922480614,3.8797284190106702
111.746,34.5,34.275,3.8684719535783367,3.9024390243902443
114.872,34.225,34.175,3.9100684261974585,3.9177277179236047
118.018,34.625,34.525,3.8498556304138596,3.864734299516909
121.152,34.45,34.4,3.8759689922480614,3.883495145631068
124.208,34.4,34.35,3.883495145631068,3.8910505836575875
127.262,33.975,34.375,3.948667324777887,3.887269193391642
130.427,34.25,34.35,3.9062500000000004,3.8910505836575875
133.595,34.2,34.0,3.9138943248532287,3.9447731755424065
136.733,33.975,33.9,3.948667324777887,3.960396039603961
139.893,33.975,34.025,3.948667324777887,3.9408866995073897
143.031,33.775,33.775,3.9800995024875627,3.9800995024875627
146.134,33.475,33.725,4.028197381671702,3.9880358923230306
149.191,33.3,33.725,4.056795131845843,3.9880358923230306
152.251,33.625,33.675,4.004004004004004,3.9960039960039966
155.334,33.275,33.625,4.060913705583757,4.004004004004004
158.412,33.775,33.7,3.9800995024875627,3.992015968063872
161.557,33.7,33.5,3.992015968063872,4.0241448692152915
164.718,33.475,33.4,4.028197381671702,4.040404040404041
167.842,33.25,33.325,4.065040650406504,4.052684903748733
170.972,33.5,33.5,4.0241448692152915,4.0241448692152915
174.072,33.2,33.4,4.0733197556008145,4.040404040404041
177.972,33.325,33.225,4.052684903748733,4.069175991861648
181.916,33.325,33.25,4.052684903748733,4.065040650406504
185.018,33.15,33.075,4.0816326530612255,4.094165813715455
188.083,33.15,33.075,4.0816326530612255,4.094165813715455
191.143,33.05,33.0,4.098360655737706,4.106776180698152
194.187,33.025,33.075,4.102564102564102,4.094165813715455
197.255,32.975,32.95,4.110996916752312,4.11522633744856
200.349,33.2,33.25,4.0733197556008145,4.065040650406504
203.49,32.825,32.8,4.136504653567735,4.140786749482403
206.641,33.025,32.9,4.102564102564102,4.123711340206186
209.718,32.95,33.0,4.11522633744856,4.106776180698152
212.77,32.85,32.975,4.132231404958677,4.110996916752312
215.812,32.95,32.85,4.11522633744856,4.132231404958677
218.849,32.175,32.6,4.250797024442084,4.175365344467641
221.905,32.1,31.925,4.264392324093817,4.296455424274973
224.943,32.6,32.5,4.175365344467641,4.1928721174004195
228.011,32.625,32.675,4.1710114702815435,4.162330905306972
232.054,32.625,32.475,4.1710114702815435,4.197271773347324
236.093,32.5,32.45,4.1928721174004195,4.201680672268907
239.176,32.35,32.2,4.219409282700423,4.246284501061571
242.208,32.325,32.225,4.2238648363252365,4.241781548250265
245.24,32.275,32.325,4.232804232804233,4.2238648363252365
248.375,31.675,32.3,4.343105320304018,4.228329809725159
251.531,32.2,32.2,4.246284501061571,4.246284501061571
255.522,32.275,32.075,4.232804232804233,4.268943436499466
259.549,32.1,32.0,4.264392324093817,4.282655246252677
262.746,31.8,32.05,4.319654427645789,4.273504273504274
265.908,32.0,31.975,4.282655246252677,4.287245444801715
269.038,31.9,31.85,4.301075268817204,4.310344827586206
272.195,32.025,31.825,4.2780748663101615,4.314994606256743
275.382,31.7,31.65,4.338394793926249,4.347826086956522
278.498,31.575,31.725,4.362050163576883,4.333694474539545
281.569,31.95,31.9,4.291845493562232,4.301075268817204
284.688,31.875,31.825,4.3057050592034445,4.314994606256743
287.81,31.625,31.65,4.352557127312296,4.347826086956522
291.713,31.675,31.8,4.343105320304018,4.319654427645789
296.179,31.65,31.725,4.347826086956522,4.333694474539545
299.85,31.6,31.275,4.357298474945534,4.419889502762431
302.921,31.525,31.475,4.371584699453552,4.381161007667031
305.993,31.55,31.575,4.366812227074237,4.362050163576883
309.115,31.525,31.5,4.371584699453552,4.37636761487965
312.267,31.45,31.325,4.385964912280703,4.410143329658215
315.353,31.325,31.375,4.410143329658215,4.400440044004401
318.407,31.275,31.225,4.419889502762431,4.4296788482834994
321.914,31.075,31.0,4.459308807134895,4.47427293064877
325.427,31.05,31.15,4.464285714285714,4.4444444444444455
328.503,31.2,31.125,4.43458980044346,4.449388209121246
331.626,31.25,31.275,4.424778761061947,4.419889502762431
334.814,31.025,31.325,4.4692737430167595,4.410143329658215
337.908,30.925,30.925,4.489337822671158,4.489337822671158
340.931,30.95,30.9,4.4843049327354265,4.49438202247191
343.958,31.025,31.05,4.4692737430167595,4.464285714285714
347.003,30.975,30.95,4.479283314669653,4.4843049327354265
350.117,31.0,31.0,4.47427293064877,4.47427293064877
353.2,30.825,31.025,4.50958286358512,4.4692737430167595
356.229,30.875,30.875,4.499437570303712,4.499437570303712
359.288,30.825,30.4,4.50958286358512,4.597701149425287
362.435,30.5,30.725,4.576659038901602,4.530011325028313
365.591,30.775,30.8,4.519774011299435,4.5146726862302495
368.713,30.6,30.55,4.555808656036446,4.566210045662101
371.803,30.625,30.875,4.550625711035268,4.499437570303712
374.88,30.75,30.85,4.524886877828054,4.504504504504505
378.37,30.6,30.675,4.555808656036446,4.540295119182748
381.859,30.575,30.65,4.561003420752566,4.545454545454546
385.008,30.65,30.4,4.545454545454546,4.597701149425287
388.184,30.375,30.55,4.602991944764097,4.566210045662101
391.27,30.225,30.5,4.634994206257241,4.576659038901602
394.302,30.425,30.55,4.5924225028702645,4.566210045662101
397.338,30.225,30.35,4.634994206257241,4.608294930875576
400.381,30.475,30.45,4.581901489117984,4.587155963302754
403.525,30.3,30.225,4.618937644341802,4.634994206257241
406.678,30.325,30.375,4.613610149942331,4.602991944764097
409.827,30.35,30.35,4.608294930875576,4.608294930875576
412.963,30.175,30.025,4.64576074332172,4.678362573099417
416.094,30.175,30.2,4.64576074332172,4.640371229698377
419.245,30.1,30.0,4.662004662004661,4.683840749414521
422.303,30.15,30.2,4.651162790697676,4.640371229698377
425.371,29.925,29.975,4.700352526439484,4.6893317702227435
428.526,30.125,30.125,4.656577415599534,4.656577415599534
431.652,29.775,30.05,4.733727810650889,4.672897196261682
434.723,29.975,30.05,4.6893317702227435,4.672897196261682
437.793,30.0,29.85,4.683840749414521,4.716981132075472
440.836,29.875,29.95,4.7114252061248525,4.694835680751175
443.859,30.025,30.0,4.678362573099417,4.683840749414521
446.925,29.85,29.875,4.716981132075472,4.7114252061248525
450.051,29.925,29.8,4.700352526439484,4.728132387706856
453.171,29.975,29.975,4.6893317702227435,4.6893317702227435
456.222,29.7,29.75,4.75059382422803,4.739336492890995
459.314,29.6,29.65,4.77326968973747,4.761904761904763
462.434,29.875,29.725,4.7114252061248525,4.744958481613286
465.559,28.075,29.7,5.148005148005149,4.75059382422803
468.748,29.775,29.7,4.733727810650889,4.75059382422803
471.9,29.675,29.45,4.756242568370988,4.807692307692308
474.977,29.55,29.6,4.784688995215312,4.77326968973747
478.101,29.575,29.65,4.778972520908006,4.761904761904763
481.24,29.6,29.525,4.77326968973747,4.790419161676647
484.309,29.5,29.5,4.796163069544365,4.796163069544365
487.387,29.6,29.55,4.77326968973747,4.784688995215312
490.5,29.4,29.325,4.819277108433735,4.836759371221283
493.594,29.575,29.475,4.778972520908006,4.801920768307323
496.729,29.425,29.375,4.8134777376654645,4.825090470446321
499.911,29.4,29.375,4.819277108433735,4.825090470446321
503.067,29.45,29.375,4.807692307692308,4.825090470446321
506.23,29.35,29.4,4.8309178743961345,4.819277108433735
509.388,29.325,29.375,4.836759371221283,4.825090470446321
512.53,29.35,29.475,4.8309178743961345,4.801920768307323
515.661,29.35,29.4,4.8309178743961345,4.819277108433735
518.837,29.375,29.325,4.825090470446321,4.836759371221283
522.778,29.4,29.25,4.819277108433735,4.8543689320388355
526.696,29.225,29.2,4.860267314702309,4.8661800486618025
529.825,29.15,29.175,4.878048780487805,4.872107186358101
532.882,29.275,29.225,4.848484848484849,4.860267314702309
535.92,29.05,29.0,4.901960784313727,4.914004914004914
538.978,29.1,29.0,4.889975550122249,4.914004914004914
542.041,29.225,29.1,4.860267314702309,4.889975550122249
545.118,29.125,29.1,4.8840048840048835,4.889975550122249
548.281,29.0,28.875,4.914004914004914,4.944375772558715
551.45,29.1,29.0,4.889975550122249,4.914004914004914
554.51,29.2,29.075,4.8661800486618025,4.895960832313342
557.614,28.875,29.05,4.944375772558715,4.901960784313727
560.795,28.95,28.825,4.926108374384238,4.9566294919454785
563.932,29.0,28.975,4.914004914004914,4.920049200492004
567.009,28.875,28.85,4.944375772558715,4.95049504950495
570.067,28.925,28.975,4.932182490752159,4.920049200492004
573.192,29.0,28.825,4.914004914004914,4.9566294919454785
576.328,29.075,28.95,4.895960832313342,4.926108374384238
579.435,28.8,28.925,4.962779156327544,4.932182490752159
582.5,28.925,28.7,4.932182490752159,4.9875311720698265
585.515,28.925,28.875,4.932182490752159,4.944375772558715
588.587,28.7,28.65,4.9875311720698265,5.000000000000001
591.672,28.8,28.7,4.962779156327544,4.9875311720698265
594.787,28.825,28.6,4.9566294919454785,5.012531328320803
597.93,28.7,28.6,4.9875311720698265,5.012531328320803
601.042,28.75,28.65,4.975124378109452,5.000000000000001
604.188,28.775,28.775,4.968944099378883,4.968944099378883
607.349,28.7,28.825,4.9875311720698265,4.9566294919454785
610.436,28.625,28.775,5.006257822277847,4.968944099378883
613.472,28.775,28.65,4.968944099378883,5.000000000000001
616.539,28.725,28.75,4.9813200498132,4.975124378109452
619.695,28.65,28.675,5.000000000000001,4.9937578027465666
622.892,28.625,28.575,5.006257822277847,5.018820577164368
626.034,28.4,28.325,5.063291139240507,5.082592121982212
629.137,28.525,28.4,5.031446540880504,5.063291139240507
632.194,28.55,28.575,5.025125628140704,5.018820577164368
635.244,28.575,28.5,5.018820577164368,5.037783375314862
638.377,28.6,28.375,5.012531328320803,5.069708491761724
641.476,28.475,28.45,5.044136191677175,5.050505050505051
644.524,28.475,28.375,5.044136191677175,5.069708491761724
647.67,28.55,28.475,5.025125628140704,5.044136191677175
650.837,28.65,28.25,5.000000000000001,5.1020408163265305
654.023,28.15,28.225,5.128205128205129,5.108556832694763
657.151,28.5,28.225,5.037783375314862,5.108556832694763
660.21,28.4,28.225,5.063291139240507,5.108556832694763
663.357,28.25,28.325,5.1020408163265305,5.082592121982212
666.541,28.275,28.425,5.095541401273886,5.056890012642226
669.633,28.35,28.225,5.0761421319796955,5.108556832694763
672.696,28.175,28.275,5.1216389244558265,5.095541401273886
675.847,28.3,28.3,5.08905852417303,5.08905852417303
678.948,28.35,28.15,5.0761421319796955,5.128205128205129
681.997,28.325,28.25,5.082592121982212,5.1020408163265305
685.14,28.2,28.125,5.115089514066497,5.134788189987163
688.319,28.25,28.25,5.1020408163265305,5.1020408163265305
691.439,28.3,28.15,5.08905852417303,5.128205128205129
694.562,28.325,28.1,5.082592121982212,5.141388174807198
697.716,28.325,28.1,5.082592121982212,5.141388174807198
700.86,28.275,28.05,5.095541401273886,5.154639175257733
704.021,28.3,28.075,5.08905852417303,5.148005148005149
707.132,28.1,28.05,5.141388174807198,5.154639175257733
710.174,28.225,28.1,5.108556832694763,5.141388174807198
713.277,28.15,28.0,5.128205128205129,5.167958656330749
716.411,28.225,28.15,5.108556832694763,5.128205128205129
719.559,28.125,28.05,5.134788189987163,5.154639175257733
722.72,28.175,27.975,5.1216389244558265,5.174644243208279
725.808,28.0,27.95,5.167958656330749,5.181347150259069
728.934,28.125,28.05,5.134788189987163,5.154639175257733
732.08,28.15,28.05,5.128205128205129,5.154639175257733
735.242,28.125,28.0,5.134788189987163,5.167958656330749
